MOW,AER,2725,9653
LED,MOW,2600,8919
AER,MOW,9274,8786
MOW,LED,2391,8448
ROV,MOW,3699,7871
KRR,MOW,4483,7622
MOW,AYT,8435,5966
SIP,MOW,6932,5872
SVX,MOW,3519,5839
MOW,ROV,3120,5779
MOW,KRR,2789,5753
MOW,KUF,3300,5329
KGD,MOW,4924,5233
MOW,LCA,6962,5027
MOW,KZN,3487,4684
MOW,SIP,3008,4636
MOW,KGD,3630,4579
MOW,SVX,3298,4516
KUF,MOW,3146,4449
MOW,EVN,5918,4377
LED,SVX,5583,4340
KGD,LED,4984,4141
TJM,MOW,3967,4117
LED,KGD,3466,4028
EVN,MOW,11676,4017
KZN,MOW,3642,3839
MCX,MOW,4596,3837
IST,MOW,16510,3833
KUF,LED,4521,3675
MOW,UFA,3982,3617
MRV,MOW,4338,3430
MOW,FRU,14759,3415
SIP,LED,9316,3402
OVB,SVX,5844,3285
SIP,ROV,9629,3193
SVX,OVB,6189,3187
PRG,MOW,11263,3183
KZN,LED,4741,3164
BER,MOW,8969,3147
MOW,PRG,7146,3143
SIP,AER,7598,3125
AYT,MOW,31914,3102
MOW,TBS,6112,3083
MOW,IST,6890,3067
OVB,MOW,6609,3062
SIP,KRR,10256,3038
UFA,MOW,3894,3031
SIP,TJM,13227,3015
MOW,MRV,2970,3012
TBS,MOW,17537,3007
MOW,BCN,8831,2955
KJA,MOW,6718,2926
MOW,MCX,2960,2844
MOW,DXB,15158,2811
EVN,KRR,12944,2777
AYT,IST,5339,2755
AER,ROV,10464,2749
MOW,IKT,7876,2747
MOW,KJA,7661,2708
LCA,MOW,20690,2691
MOW,TIV,7943,2643
MOW,OVB,6377,2633
LED,TBS,5254,2628
AAQ,MOW,4224,2620
MOW,DYU,18435,2588
SVX,LED,4684,2586
LED,SIP,4509,2530
KRR,ROV,6548,2517
MOW,MIL,5341,2502
IKT,MOW,7849,2425
MSQ,MOW,5438,2418
FRU,MOW,27165,2411
BUD,MOW,14474,2359
TIV,MOW,41848,2357
GOJ,MOW,2799,2355
MOW,CEK,4965,2347
AER,SIP,9041,2318
ROV,LED,5859,2313
UFA,KUF,6090,2284
LON,MOW,10895,2260
CEK,MOW,4982,2259
SVX,AER,4875,2239
MOW,KIV,5475,2237
KRR,SIP,7586,2237
ROV,SVX,6714,2203
EVN,ROV,10993,2185
MOW,TJM,4043,2178
VOG,MOW,5018,2159
MOW,BER,6225,2146
KUF,UFA,6021,2134
SGC,MOW,5522,2125
TBS,LED,10173,2111
MOW,AAQ,3285,2091
MOW,SGC,6673,2089
LON,LED,9837,2053
MOW,VOG,4616,2020
MOW,BUD,6425,2014
KIV,MOW,6563,2010
AER,SVX,10703,2005
MOW,MSQ,4273,1992
BCN,MOW,16409,1972
MOW,OMS,5600,1970
MOW,TAS,16193,1967
KLF,MOW,3276,1957
OMS,MOW,5993,1936
AER,LED,11506,1926
DXB,MOW,19554,1924
MOW,LBD,13764,1899
KLF,LED,3390,1859
KRR,LED,5982,1850
OSS,MOW,15492,1847
MOW,OSS,13100,1827
MOW,PEE,4299,1817
OGZ,MOW,8015,1764
ASF,MOW,6817,1639
LED,AYT,8912,1629
MOW,GOJ,2792,1605
LED,ROV,4030,1604
PEE,MOW,4391,1600
SVX,ROV,5177,1588
LED,AER,4579,1567
MRV,KZN,5535,1541
MOW,OGZ,3481,1517
STW,MOW,6176,1516
LED,KUF,4587,1508
MOW,KLF,5046,1502
MOW,ASF,4409,1501
ROV,TBS,8713,1487
ROV,KRR,6995,1486
KEJ,MOW,8781,1485
MOW,MMK,4820,1434
NBC,MOW,2562,1428
BUS,MOW,13625,1416
