AAE,MOW,42269,TUA,3,TK
AAL,LED,28843,TUA,3,SK
AAL,MOW,56011,TUA,3,LH
AAQ,ADB,29180,TUA,3,KK
AAQ,AER,6220,TUA,2,UT
AAQ,AGP,25850,TUA,2,SU
AAQ,AJI,65341,TUA,3,TK
AAQ,ALA,16527,TUA,3,S7
AAQ,ALC,10940,TUA,2,S7
AAQ,AOI,44324,TUA,3,CL
AAQ,ASF,7699,TUA,2,S7
AAQ,ATH,17117,TUA,2,A3
AAQ,AYT,13295,TUA,2,S7
AAQ,BAK,10027,TUA,2,S7
AAQ,BAL,65204,TUA,3,TK
AAQ,BAX,9769,TUA,2,U6
AAQ,BCN,12222,TUA,2,S7
AAQ,BEG,20618,TUA,2,SU
AAQ,BNX,105475,TUA,3,JU
AAQ,BQS,33331,TUA,3,U6
AAQ,BRQ,54122,TUA,3,BM
AAQ,BTK,17252,TUA,2,GH
AAQ,BUS,10220,TUA,2,S7
AAQ,BZK,9262,TUA,3,S7
AAQ,CAG,19429,TUA,3,KM
AAQ,CEK,7017,TUA,2,N4
AAQ,CGN,37684,TUA,3,LH
AAQ,CSY,6600,TUA,2,N4
AAQ,DME,3818,TUA,1,U6
AAQ,DNK,46650,TUA,3,OS
AAQ,DTM,46254,TUA,3,EW
AAQ,DUS,10182,TUA,2,GH
AAQ,EGO,7885,TUA,2,SU
AAQ,EVN,8548,TUA,2,N4
AAQ,FYJ,133820,TUA,3,CA
AAQ,GDX,24339,TUA,3,GH
AAQ,GDZ,10020,TUA,2,UT
AAQ,GOJ,6286,TUA,2,S7
AAQ,GRV,8320,TUA,2,UT
AAQ,GYD,10027,TUA,2,S7
AAQ,HEL,20571,TUA,2,SU
AAQ,HER,21513,TUA,2,SU
AAQ,HMA,8357,TUA,2,SU
AAQ,HTA,15466,TUA,2,U6
AAQ,IAR,9250,TUA,3,S7
AAQ,IJK,17955,TUA,2,7R
AAQ,IKT,12144,TUA,2,U6
AAQ,IST,18571,TUA,2,SU
AAQ,JMU,40955,TUA,3,FM
AAQ,JOE,36436,TUA,3,AY
AAQ,KEJ,12228,TUA,2,S7
AAQ,KGD,7535,TUA,2,S7
AAQ,KGP,13965,TUA,2,UT
AAQ,KHV,16704,TUA,2,N4
AAQ,KIV,8624,TUA,2,9U
AAQ,KJA,10849,TUA,2,GH
AAQ,KRO,12410,TUA,2,UT
AAQ,KRR,6051,TUA,2,N4
AAQ,KSN,41558,TUA,3,SU
AAQ,KUF,6193,TUA,2,U6
AAQ,KVX,13400,TUA,2,7R
AAQ,KZN,5998,TUA,2,EO
AAQ,LED,5705,TUA,2,N4
AAQ,MAD,14808,TUA,2,SU
AAQ,MCX,7842,TUA,2,UT
AAQ,MMK,9209,TUA,2,S7
AAQ,MOW,3758,TUA,1,EO
AAQ,MQF,7226,TUA,2,SU
AAQ,MRV,6590,TUA,2,S7
AAQ,MSQ,8251,TUA,2,UT
AAQ,NBC,5615,TUA,2,EO
AAQ,NJC,11711,TUA,2,SU
AAQ,NOJ,16238,TUA,3,S7
AAQ,NOZ,12001,TUA,2,S7
AAQ,NSK,31289,TUA,3,S7
AAQ,NUX,11520,TUA,2,UT
AAQ,NYM,14952,TUA,2,S7
AAQ,ODS,18749,TUA,3,B2
AAQ,OGZ,6697,TUA,2,GH
AAQ,OHE,92908,TUA,3,CZ
AAQ,OMS,9306,TUA,2,S7
AAQ,OSW,7700,TUA,2,EO
AAQ,OVB,10735,TUA,2,U6
